Size,Gflops,Diff
40,8.533333e+00,1.609040e+09
80,8.462810e+00,1.615266e+09
120,8.575682e+00,1.616576e+09
160,8.623158e+00,1.619853e+09
200,8.681498e+00,1.621164e+09
240,8.732786e+00,1.622475e+09
280,8.630627e+00,1.626079e+09
320,8.712576e+00,1.627718e+09
360,8.767453e+00,1.629094e+09
400,8.712817e+00,1.630667e+09
440,8.763335e+00,1.632305e+09
480,8.726584e+00,1.633944e+09
520,8.651469e+00,1.635582e+09
560,8.688055e+00,1.637220e+09
600,8.707571e+00,1.638859e+09
640,8.751698e+00,1.640497e+09
680,8.744667e+00,1.642136e+09
720,8.775801e+00,1.643512e+09
760,8.777940e+00,1.645085e+09
800,8.717639e+00,1.646723e+09
